Chr,Start,End,Symbol,Strand,TPM,,Gene_ID,Type,N_alu,N_events,Ed_Pri,Ed_Mat
chr19,39306062,39322481,ECH1,-,69.575,V,ENSG00000104823,protein_coding,6,3,0.228,0.0
chr19,39923777,39926589,RPS16,-,527.125,V,ENSG00000105193,protein_coding,1,3,0.272,0.0
chr19,50691443,50813799,MYH14,+,57.339,V,ENSG00000105357,protein_coding,62,3,0.237,0.0
chr19,48949030,48960279,GRWD1,+,15.647,V,ENSG00000105447,protein_coding,6,3,0.029,0.0
chr19,48618702,48673860,LIG1,-,16.557,V,ENSG00000105486,protein_coding,31,3,0.189,0.0
chr19,11432744,11456946,RAB3D,-,44.781,V,ENSG00000105514,protein_coding,27,3,0.013,0.0
chr19,17935589,17958880,JAK3,-,6.385,V,ENSG00000105639,protein_coding,16,3,0.138,0.0
chr7,106809406,106842967,HBP1,+,32.364,V,ENSG00000105856,protein_coding,10,3,0.007,0.0
chr7,115927434,116148595,CAV2,+,15.841,V,ENSG00000105971,protein_coding,24,3,0.279,0.0
chr7,43915493,43966010,URGCP,-,14.289,V,ENSG00000106608,protein_coding,31,3,0.2,0.0
chr10,49514682,49647403,MAPK8,+,9.832,V,ENSG00000107643,protein_coding,21,3,0.378,0.0
chr10,121652242,121704169,SEC23IP,+,13.111,V,ENSG00000107651,protein_coding,22,3,0.175,0.0
chr10,104005289,104142656,GBF1,+,53.105,V,ENSG00000107862,protein_coding,74,3,0.204,0.0
chr10,104263744,104393292,SUFU,+,12.441,V,ENSG00000107882,protein_coding,73,3,0.304,0.0
chr17,38137060,38154212,PSMD3,+,54.654,V,ENSG00000108344,protein_coding,4,3,0.161,0.0
chr17,5264258,5322996,NUP88,-,12.552,V,ENSG00000108559,protein_coding,26,3,1,0.0
chr17,17991206,18011284,DRG2,+,11.714,V,ENSG00000108591,protein_coding,7,3,0.222,0.0
chr17,42927316,42976813,EFTUD2,-,22.725,V,ENSG00000108883,protein_coding,26,3,0.292,0.0
chr4,56461396,56502865,NMU,-,76.017,V,ENSG00000109255,protein_coding,8,3,0.189,0.0
chr4,166128713,166244308,KLHL2,+,41.725,V,ENSG00000109466,protein_coding,19,3,0.256,0.0
chr11,67806492,67818362,TCIRG1,+,55.844,V,ENSG00000110719,protein_coding,1,3,0.096,0.0
chr12,27676364,27848497,PPFIBP1,+,15.405,V,ENSG00000110841,protein_coding,31,3,0.045,0.0
chr12,109886460,109915164,KCTD10,-,22.667,V,ENSG00000110906,protein_coding,3,3,0.019,0.0
chr12,110011060,110035930,MVK,+,37.426,V,ENSG00000110921,protein_coding,7,3,0.185,0.0
chr12,7055631,7070479,PTPN6,+,16.47,V,ENSG00000111679,protein_coding,5,3,0.384,0.0
chr6,52916789,52965671,FBXO9,+,27.138,V,ENSG00000112146,protein_coding,11,3,0.322,0.0
chr6,133135708,133138703,RPS12,+,3243.657,V,ENSG00000112306,protein_coding,0,3,0.0,0.0
chr6,71566382,71666741,B3GAT2,-,0.645,V,ENSG00000112309,protein_coding,6,3,0.012,0.0
chr6,108532426,108582450,SNX3,-,174.488,V,ENSG00000112335,protein_coding,34,3,0.276,0.0
chr5,40909354,40983041,C7,+,21.64,V,ENSG00000112936,protein_coding,20,3,0.017,0.0
chr5,71515236,71616473,MRPS27,-,26.222,V,ENSG00000113048,protein_coding,23,3,0.01,0.0
chr3,135969182,136056738,PCCB,+,9.814,V,ENSG00000114054,protein_coding,51,3,0.275,0.0
chr3,197615948,197687013,IQCG,-,1.985,V,ENSG00000114473,protein_coding,45,3,0.178,0.0
chr3,196662273,196669465,NCBP2,-,23.858,V,ENSG00000114503,protein_coding,3,3,0.522,0.0
chr3,183637722,183735727,ABCC5,-,46.916,V,ENSG00000114770,protein_coding,34,3,0.21,0.0
chr3,52738971,52745164,SPCS1,+,27.481,V,ENSG00000114902,protein_coding,1,3,0.292,0.0
chr2,74379655,74406025,MOB1A,-,46.103,V,ENSG00000114978,protein_coding,12,3,0.018,0.0
chr2,113239733,113299316,TTL,+,5.559,V,ENSG00000114999,protein_coding,14,3,0.114,0.0
chr2,26987157,27023935,CENPA,+,3.803,V,ENSG00000115163,protein_coding,21,3,0.02,0.0
chr2,27650657,27665126,NRBP1,+,80.717,V,ENSG00000115216,protein_coding,6,3,0.093,0.0
chr2,198318147,198340032,COQ10B,+,19.222,V,ENSG00000115520,protein_coding,17,3,0.023,0.0
chr2,171784974,171823640,GORASP2,+,57.066,V,ENSG00000115806,protein_coding,15,3,0.267,0.0
chr2,136663451,136743670,DARS,-,41.257,V,ENSG00000115866,protein_coding,19,3,0.276,0.0
chr1,113162427,113214238,CAPZA1,+,134.332,V,ENSG00000116489,protein_coding,27,3,0.061,0.0
chr1,35641979,35658746,SFPQ,-,98.319,V,ENSG00000116560,protein_coding,3,3,0.06,0.0
chr1,156024543,156028301,LAMTOR2,+,41.785,V,ENSG00000116586,protein_coding,0,3,0.556,0.0
chr1,156433519,156470571,MEF2D,-,25.285,V,ENSG00000116604,protein_coding,5,3,0.389,0.0
chr1,12079523,12092102,MIIP,+,14.982,V,ENSG00000116691,protein_coding,7,3,0.244,0.0
chr1,193028552,193060907,RO60,+,6.611,V,ENSG00000116747,protein_coding,5,3,0.376,0.0
chr1,36621180,36646450,MAP7D1,+,62.103,V,ENSG00000116871,protein_coding,8,3,0.252,0.0
chr1,40222854,40254537,BMP8B,-,2.011,V,ENSG00000116985,protein_coding,6,3,0.219,0.0
chr1,46016215,46035721,AKR1A1,+,123.233,V,ENSG00000117448,protein_coding,23,3,0.054,0.0
chr19,45909467,45914024,CD3EAP,+,1.398,V,ENSG00000117877,protein_coding,2,3,0.075,0.0
chr15,81238630,81282169,MESD,-,16.12,V,ENSG00000117899,protein_coding,17,3,0.36,0.0
chr1,200593024,200639035,DDX59,-,9.704,V,ENSG00000118197,protein_coding,23,3,0.533,0.0
chr2,20760208,20850890,HS1BP3,-,4.205,V,ENSG00000118960,protein_coding,9,3,0.06,0.0
chr19,1461142,1479555,C19orf25,-,9.823,V,ENSG00000119559,protein_coding,13,3,0.145,0.0
chr14,75546056,75594047,NEK9,-,20.468,V,ENSG00000119638,protein_coding,22,3,0.175,0.0
chr14,90734204,90798313,NRDE2,-,2.861,V,ENSG00000119720,protein_coding,24,3,0.272,0.0
chr14,74416629,74430373,COQ6,+,3.431,V,ENSG00000119723,protein_coding,7,3,0.159,0.0
chr10,102672720,102724891,SLF2,+,10.353,V,ENSG00000119906,protein_coding,24,3,0.333,0.0
chr13,37418968,37494902,SMAD9,-,2.806,V,ENSG00000120693,protein_coding,24,3,0.208,0.0
chr12,95414005,95467404,NR2C1,-,7.054,V,ENSG00000120798,protein_coding,36,3,0.404,0.0
chr19,58595205,58629794,ZSCAN18,-,7.584,V,ENSG00000121413,protein_coding,20,3,0.604,0.0
chr9,37879397,37904350,SLC25A51,-,5.299,V,ENSG00000122696,protein_coding,15,3,0.17,0.0
chr9,36190853,36304778,CLTA,+,114.581,V,ENSG00000122705,protein_coding,64,3,0.377,0.0
chr19,12777616,12786646,WDR83,+,4.752,V,ENSG00000123154,protein_coding,6,3,0.638,0.0
chr13,50234810,50265622,EBPL,-,52.488,V,ENSG00000123179,protein_coding,12,3,0.533,0.0
chr6,42192669,42419789,TRERF1,-,17.95,V,ENSG00000124496,protein_coding,58,3,0.4,0.0
chr4,2538358,2734292,FAM193A,+,11.69,V,ENSG00000125386,protein_coding,138,3,0.4,0.0
chr20,18268927,18297640,ZNF133,+,11.497,V,ENSG00000125846,protein_coding,2,3,0.333,0.0
chr20,33104214,33128762,DYNLRB1,+,14.67,V,ENSG00000125971,protein_coding,10,3,0.4,0.0
chr20,33789548,33865934,MMP24OS,-,17.871,V,ENSG00000126005,protein_coding,40,3,0.127,0.0
chr19,50168399,50177173,BCL2L12,+,9.277,V,ENSG00000126453,protein_coding,6,3,0.167,0.0
chr17,40962152,40985367,BECN1,-,19.29,V,ENSG00000126581,protein_coding,13,3,0.11,0.0
chr12,6775643,6798738,ZNF384,-,27.282,V,ENSG00000126746,protein_coding,5,3,0.338,0.0
chr7,150020352,150035245,LRRC61,+,12.598,V,ENSG00000127399,protein_coding,1,3,0.278,0.0
chr22,36536378,36562225,APOL3,-,12.769,V,ENSG00000128284,protein_coding,5,3,0.256,0.0
chr22,39436609,39451977,APOBEC3F,+,2.318,V,ENSG00000128394,protein_coding,11,3,0.322,0.0
chr15,44064803,44069513,ELL3,-,1.588,V,ENSG00000128886,protein_coding,2,3,0.152,0.0
chr15,60711808,60771359,ICE2,-,4.684,V,ENSG00000128915,protein_coding,23,3,0.467,0.0
chr15,40697686,40728146,IVD,+,14.854,V,ENSG00000128928,protein_coding,14,3,0.027,0.0
chr19,10713133,10755233,SLC44A2,+,125.099,V,ENSG00000129353,protein_coding,47,3,0.267,0.0
chr13,115000362,115038198,CDC16,+,41.008,V,ENSG00000130177,protein_coding,16,3,0.467,0.0
chr19,39818993,39833012,GMFG,-,5.912,V,ENSG00000130755,protein_coding,14,3,0.267,0.0
chr14,103243813,103377837,TRAF3,+,9.963,V,ENSG00000131323,protein_coding,52,3,0.109,0.0
chr2,239079043,239112349,ILKAP,-,12.95,V,ENSG00000132323,protein_coding,17,3,0.148,0.0
chr16,69345253,69360842,VPS4A,+,21.219,V,ENSG00000132612,protein_coding,7,3,0.096,0.0
chr10,81838402,81852313,TMEM254,+,41.496,V,ENSG00000133678,protein_coding,8,3,0.162,0.0
chr12,25357723,25403870,KRAS,-,23.527,V,ENSG00000133703,protein_coding,19,3,0.017,0.0
chr1,113009163,113072787,WNT2B,+,4.564,V,ENSG00000134245,protein_coding,21,3,0.131,0.0
chr2,8861211,8977760,KIDINS220,-,11.941,V,ENSG00000134313,protein_coding,30,3,0.357,0.0
chr12,13349657,13372875,EMP1,+,1154.044,V,ENSG00000134531,protein_coding,2,3,0.072,0.0
chr1,36273617,36323491,AGO4,+,12.505,V,ENSG00000134698,protein_coding,26,3,0.079,0.0
chr18,28898123,28939209,DSG1,+,6.751,V,ENSG00000134760,protein_coding,3,3,0.175,0.0
chr11,128834955,129149219,ARHGAP32,-,51.253,V,ENSG00000134909,protein_coding,34,3,0.489,0.0
chr9,77703459,77762181,OSTF1,+,186.368,V,ENSG00000134996,protein_coding,16,3,0.25,0.0
chr12,112563342,112591408,TRAFD1,+,38.503,V,ENSG00000135148,protein_coding,24,3,0.189,0.0
chr11,34073278,34124157,CAPRIN1,+,43.423,V,ENSG00000135387,protein_coding,23,3,0.2,0.0
chr2,73441350,73454349,SMYD5,+,19.042,V,ENSG00000135632,protein_coding,3,3,0.5,0.0
chr1,231499497,231558033,EGLN1,-,5.837,V,ENSG00000135766,protein_coding,16,3,0.015,0.0
chr2,99613724,99771427,TSGA10,-,1.854,V,ENSG00000135951,protein_coding,38,3,0.289,0.0
chr7,22157854,22396773,RAPGEF5,-,27.286,V,ENSG00000136237,protein_coding,34,3,0.448,0.0
chr7,23221446,23240630,NUPL2,+,6.831,V,ENSG00000136243,protein_coding,7,3,0.133,0.0
chr17,43128978,43186384,NMT1,+,45.182,V,ENSG00000136448,protein_coding,43,3,0.373,0.0
chr17,47866043,47912388,KAT7,+,10.449,V,ENSG00000136504,protein_coding,21,3,0.256,0.0
chr2,114195268,114253766,CBWD2,+,3.888,V,ENSG00000136682,protein_coding,6,3,0.164,0.0
chr9,132589569,132598142,C9orf78,-,19.917,V,ENSG00000136819,protein_coding,4,3,0.018,0.0
chr9,100263462,100364025,TMOD1,+,2.688,V,ENSG00000136842,protein_coding,20,3,0.04,0.0
chr9,19230433,19373543,DENND4C,+,17.495,V,ENSG00000137145,protein_coding,78,3,0.028,0.0
chr15,40886218,40956540,KNL1,+,2.204,V,ENSG00000137812,protein_coding,57,3,0.189,0.0
chr15,72533522,72565340,PARP6,-,20.76,V,ENSG00000137817,protein_coding,7,3,0.214,0.0
chr15,43661419,43701969,TUBGCP4,+,3.918,V,ENSG00000137822,protein_coding,14,3,0.063,0.0
chr1,76251882,76260771,RABGGTB,+,28.274,V,ENSG00000137955,protein_coding,1,3,0.058,0.0
chr2,55861196,55920998,PNPT1,-,10.539,V,ENSG00000138035,protein_coding,35,3,0.078,0.0
chr16,1756184,1820318,MAPK8IP3,+,22.674,V,ENSG00000138834,protein_coding,25,3,0.381,0.0
chr12,31433518,31479992,SINHCAF,-,14.956,V,ENSG00000139146,protein_coding,15,3,0.049,0.0
chr12,76419227,76427712,PHLDA1,-,66.397,V,ENSG00000139289,protein_coding,0,3,0.156,0.0
chr12,50101508,50158717,TMBIM6,+,263.831,V,ENSG00000139644,protein_coding,27,3,0.189,0.0
chr12,56631591,56652168,ANKRD52,-,21.135,V,ENSG00000139645,protein_coding,9,3,0.189,0.0
chr14,102605840,102691184,WDR20,+,9.404,V,ENSG00000140153,protein_coding,35,3,0.317,0.0
chr15,57210821,57591479,TCF12,+,11.265,V,ENSG00000140262,protein_coding,120,3,0.329,0.0
chr15,44069285,44094787,SERF2,+,102.933,V,ENSG00000140264,protein_coding,13,3,0.122,0.0
chr15,74287014,74340153,PML,+,18.02,V,ENSG00000140464,protein_coding,20,3,0.153,0.0
chr16,57023397,57117443,NLRC5,+,8.869,V,ENSG00000140853,protein_coding,28,3,0.117,0.0
chr16,90086037,90111383,GAS8,+,9.067,V,ENSG00000141013,protein_coding,15,3,0.102,0.0
chr17,66255323,66418872,ARSG,+,3.858,V,ENSG00000141337,protein_coding,77,3,0.178,0.0
chr18,12328943,12377313,AFG3L2,-,23.723,V,ENSG00000141385,protein_coding,19,3,0.031,0.0
chr17,80196899,80231607,CSNK1D,-,38.09,V,ENSG00000141551,protein_coding,7,3,0.284,0.0
chr17,79848666,79858867,ANAPC11,+,24.54,V,ENSG00000141552,protein_coding,15,3,0.333,0.0
chr19,48988528,49017192,LMTK3,-,8.626,V,ENSG00000142235,protein_coding,13,3,0.109,0.0
chr1,85731459,85742315,BCL10,-,20.18,V,ENSG00000142867,protein_coding,2,3,0.02,0.0
chr1,150898739,150937220,SETDB1,+,12.352,V,ENSG00000143379,protein_coding,30,3,0.242,0.0
chr1,151170425,151222012,PIP5K1A,+,23.017,V,ENSG00000143398,protein_coding,46,3,0.306,0.0
chr2,70508494,70520872,SNRPG,-,29.611,V,ENSG00000143977,protein_coding,5,3,0.356,0.0
chr2,227700297,227863931,RHBDD1,+,7.402,V,ENSG00000144468,protein_coding,12,3,0.126,0.0
chr3,10068098,10143614,FANCD2,+,4.097,V,ENSG00000144554,protein_coding,42,3,0.064,0.0
chr3,11597543,11812824,VGLL4,-,15.491,V,ENSG00000144560,protein_coding,81,3,0.015,0.0
chr3,101546835,101579866,NFKBIZ,+,57.048,V,ENSG00000144802,protein_coding,4,3,0.007,0.0
chr4,84011201,84058228,PLAC8,-,86.425,V,ENSG00000145287,protein_coding,26,3,0.297,0.0
chr5,86563705,86687748,RASA1,+,20.524,V,ENSG00000145715,protein_coding,33,3,0.076,0.0
chr5,176946790,176981564,FAM193B,-,47.896,V,ENSG00000146067,protein_coding,7,3,0.244,0.0
chr6,79577268,79656157,IRAK1BP1,+,1.1,V,ENSG00000146243,protein_coding,17,3,0.571,0.0
chr6,89855774,89875284,PM20D2,+,12.683,V,ENSG00000146281,protein_coding,8,3,0.333,0.0
chr6,159057506,159065775,DYNLT1,-,57.697,V,ENSG00000146425,protein_coding,3,3,0.145,0.0
chr6,160146617,160177351,WTAP,+,33.131,V,ENSG00000146457,protein_coding,8,3,0.114,0.0
chrX,70586089,70752224,TAF1,+,11.553,V,ENSG00000147133,protein_coding,119,3,0.102,0.0
chr9,123970072,124095121,GSN,+,182.794,V,ENSG00000148180,protein_coding,33,3,0.224,0.0
chr9,136028335,136039320,GBGT1,-,2.722,V,ENSG00000148288,protein_coding,3,3,0.511,0.0
chr10,16632610,16859462,RSU1,-,34.472,V,ENSG00000148484,protein_coding,50,3,0.043,0.0
chr10,104678051,104849979,CNNM2,+,1.254,V,ENSG00000148842,protein_coding,80,3,0.006,0.0
chr11,125495560,125546150,CHEK1,+,5.123,V,ENSG00000149554,protein_coding,20,3,0.079,0.0
chr11,63993413,63998158,NUDT22,+,18.614,V,ENSG00000149761,protein_coding,1,3,0.097,0.0
chr4,44680437,44702945,GUF1,+,16.706,V,ENSG00000151806,protein_coding,2,3,0.352,0.0
chr2,173420101,173473397,PDK1,+,5.573,V,ENSG00000152256,protein_coding,17,3,0.22,0.0
chr3,191046874,191116448,CCDC50,+,13.346,V,ENSG00000152492,protein_coding,6,3,0.051,0.0
chr5,68710892,68740157,MARVELD2,+,11.017,V,ENSG00000152939,protein_coding,25,3,0.13,0.0
chr6,4706393,4955785,CDYL,+,14.815,V,ENSG00000153046,protein_coding,65,3,0.4,0.0
chr6,7726332,7881961,BMP6,+,2.332,V,ENSG00000153162,protein_coding,27,3,0.008,0.0
chr6,116956781,116989957,ZUP1,-,8.903,V,ENSG00000153975,protein_coding,9,3,0.532,0.0
chr5,14704909,14871887,ANKH,-,7.527,V,ENSG00000154122,protein_coding,39,3,0.398,0.0
chr4,186506598,186877806,SORBS2,-,14.746,V,ENSG00000154556,protein_coding,62,3,0.143,0.0
chr14,104378625,104394606,ATP5MPL,-,33.95,V,ENSG00000156411,protein_coding,10,3,0.125,0.0
chr4,57204453,57253674,AASDH,-,7.621,V,ENSG00000157426,protein_coding,21,3,0.392,0.0
chr3,57261754,57312133,APPL1,+,18.865,V,ENSG00000157500,protein_coding,16,3,0.044,0.0
chr2,31557187,31637608,XDH,-,114.468,V,ENSG00000158125,protein_coding,7,3,0.008,0.0
chr2,97426639,97477611,CNNM4,+,12.763,V,ENSG00000158158,protein_coding,39,3,0.356,0.0
chr1,28296855,28415148,EYA3,-,14.848,V,ENSG00000158161,protein_coding,62,3,0.128,0.0
chr1,161087876,161095235,NIT1,+,20.07,V,ENSG00000158793,protein_coding,1,3,0.172,0.0
chr21,38071433,38122218,SIM2,+,28.377,V,ENSG00000159263,protein_coding,8,3,0.298,0.0
chr4,1205236,1243741,CTBP1,-,27.997,V,ENSG00000159692,protein_coding,2,3,0.579,0.0
chr1,33005028,33071542,ZBTB8A,+,1.147,V,ENSG00000160062,protein_coding,53,3,0.167,0.0
chr21,44394620,44454041,PKNOX1,+,5.071,V,ENSG00000160199,protein_coding,40,3,0.081,0.0
chr21,45192392,45196326,CSTB,-,3162.891,V,ENSG00000160213,protein_coding,2,3,0.005,0.0
chr21,47608055,47648738,LSS,-,123.135,V,ENSG00000160285,protein_coding,7,3,0.127,0.0
chr1,153920145,153931091,CRTC2,-,31.306,V,ENSG00000160741,protein_coding,4,3,0.229,0.0
chr3,46412345,46417697,CCR5,+,2.907,V,ENSG00000160791,protein_coding,0,3,0.411,0.0
chr17,37913971,38020565,IKZF3,-,1.368,V,ENSG00000161405,protein_coding,48,3,0.233,0.0
chr12,54762917,54785082,ZNF385A,-,140.358,V,ENSG00000161642,protein_coding,6,3,0.197,0.0
chr11,62574369,62599560,STX5,-,42.729,V,ENSG00000162236,protein_coding,27,3,0.6,0.0
chr3,52027538,52029958,RPL29,-,680.188,V,ENSG00000162244,protein_coding,0,3,0.001,0.0
chr11,64126620,64139687,RPS6KA4,+,59.008,V,ENSG00000162302,protein_coding,3,3,0.238,0.0
chr1,58881056,59012474,OMA1,-,11.272,V,ENSG00000162600,protein_coding,17,3,0.19,0.0
chr1,90460669,90501092,ZNF326,+,10.415,V,ENSG00000162664,protein_coding,8,3,0.065,0.0
chr2,74119441,74146992,ACTG2,+,677.461,V,ENSG00000163017,protein_coding,8,3,0.244,0.0
chr4,84377085,84390888,MRPS18C,+,5.222,V,ENSG00000163319,protein_coding,6,3,0.375,0.0
chr3,69024368,69062835,EOGT,-,10.526,V,ENSG00000163378,protein_coding,8,3,0.222,0.0
chr4,57896939,57976551,IGFBP7,-,87.411,V,ENSG00000163453,protein_coding,24,3,0.282,0.0
chr3,9944296,9958086,IL17RE,+,18.391,V,ENSG00000163701,protein_coding,4,3,0.148,0.0
chr3,45123769,45187914,CDCP1,-,65.646,V,ENSG00000163814,protein_coding,17,3,0.011,0.0
chr3,185300284,185351339,SENP2,+,10.498,V,ENSG00000163904,protein_coding,39,3,0.37,0.0
chr3,53122499,53164469,RFT1,-,6.184,V,ENSG00000163933,protein_coding,19,3,0.164,0.0
chr3,196366646,196462878,PIGX,+,11.272,V,ENSG00000163964,protein_coding,57,3,0.028,0.0
chr7,23544399,23571660,TRA2A,-,67.33,V,ENSG00000164548,protein_coding,16,3,0.042,0.0
chr5,134074238,134087847,CAMLG,+,23.247,V,ENSG00000164615,protein_coding,13,3,0.178,0.0
chr8,125318430,125384933,TMEM65,-,10.818,V,ENSG00000164983,protein_coding,11,3,0.049,0.0
chr14,34901994,34931446,SPTSSA,-,42.095,V,ENSG00000165389,protein_coding,20,3,0.4,0.0
chr10,120057437,120101840,FAM204A,-,3.318,V,ENSG00000165669,protein_coding,4,3,0.043,0.0
chr14,21966277,21979484,METTL3,-,22.446,V,ENSG00000165819,protein_coding,7,3,0.08,0.0
chr10,102283497,102289757,NDUFB8,-,21.805,V,ENSG00000166136,protein_coding,3,3,0.402,0.0
chr12,69979206,69995350,CCT2,+,54.546,V,ENSG00000166226,protein_coding,5,3,0.439,0.0
chr11,6627524,6633770,TAF10,-,3.199,V,ENSG00000166337,protein_coding,0,3,0.003,0.0
chr17,19286755,19290553,MFAP4,-,191.105,V,ENSG00000166482,protein_coding,1,3,0.008,0.0
chr18,56807098,56826064,SEC11C,+,17.162,V,ENSG00000166562,protein_coding,2,3,0.27,0.0
chr15,44580917,44707956,CASC4,+,11.487,V,ENSG00000166734,protein_coding,100,3,0.348,0.0
chr16,23652787,23688793,DCTN5,+,20.251,V,ENSG00000166847,protein_coding,19,3,0.163,0.0
chr15,45722727,45740959,C15orf48,+,221.62,V,ENSG00000166920,protein_coding,12,3,0.467,0.0
chr17,1323983,1366456,CRK,-,41.468,V,ENSG00000167193,protein_coding,52,3,0.024,0.0
chr11,118272321,118302211,ATP5MG,+,28.919,V,ENSG00000167283,protein_coding,20,3,0.2,0.0
chr19,44088521,44100287,IRGQ,-,10.067,V,ENSG00000167378,protein_coding,6,3,0.051,0.0
chr17,2225797,2240801,TSR1,-,23.518,V,ENSG00000167721,protein_coding,8,3,0.039,0.0
chr11,61197514,61215001,SDHAF2,+,8.887,V,ENSG00000167985,protein_coding,8,3,0.333,0.0
chr11,61727190,61735106,FTH1,-,203.589,V,ENSG00000167996,protein_coding,2,3,0.0,0.0
chr11,64107676,64125006,CCDC88B,+,14.709,V,ENSG00000168071,protein_coding,4,3,0.221,0.0
chr6,54711569,54809897,FAM83B,+,22.228,V,ENSG00000168143,protein_coding,14,3,0.015,0.0
chr3,58318607,58411853,PXK,+,8.289,V,ENSG00000168297,protein_coding,37,3,0.112,0.0
chr14,96671016,96710503,BDKRB2,+,25.613,V,ENSG00000168398,protein_coding,5,3,0.019,0.0
chr1,110905473,110933704,SLC16A4,-,1.841,V,ENSG00000168679,protein_coding,6,3,0.182,0.0
chr2,97525455,97536494,SEMA4C,-,23.819,V,ENSG00000168758,protein_coding,2,3,0.097,0.0
chr17,27887565,27894055,ABHD15,-,7.277,V,ENSG00000168792,protein_coding,3,3,0.25,0.0
chr4,1813206,1857883,LETM1,-,34.648,V,ENSG00000168924,protein_coding,29,3,0.037,0.0
chr2,70314586,70316335,PCBP1,+,74.671,V,ENSG00000169564,protein_coding,0,3,0.002,0.0
chr16,30541688,30546668,ZNF747,-,4.282,V,ENSG00000169955,protein_coding,2,3,0.128,0.0
chr11,11862970,11980870,USP47,+,16.685,V,ENSG00000170242,protein_coding,13,3,0.276,0.0
chr2,62051983,62081278,FAM161A,-,1.829,V,ENSG00000170264,protein_coding,14,3,0.189,0.0
chr5,132387705,132442141,HSPA4,+,70.058,V,ENSG00000170606,protein_coding,35,3,0.371,0.0
chr7,102715328,102740206,ARMC10,+,14.445,V,ENSG00000170632,protein_coding,9,3,0.202,0.0
chr2,29072687,29093175,TRMT61B,-,10.217,V,ENSG00000171103,protein_coding,11,3,0.2,0.0
chr4,159630279,159644548,PPID,-,25.741,V,ENSG00000171497,protein_coding,4,3,0.013,0.0
chr2,3622850,3628510,RPS7,+,224.438,V,ENSG00000171863,protein_coding,2,3,0.0,0.0
chr2,88856258,88926982,EIF2AK3,-,11.162,V,ENSG00000172071,protein_coding,19,3,0.333,0.0
chr15,89179384,89199714,ISG20,+,6.071,V,ENSG00000172183,protein_coding,6,3,0.14,0.0
chr11,71164155,71235153,NADSYN1,+,28.093,V,ENSG00000172890,protein_coding,11,3,0.101,0.0
chr8,145596790,145618457,ADCK5,+,13.966,V,ENSG00000173137,protein_coding,10,3,0.222,0.0
chr1,57460451,59012406,DAB1,-,0.105,V,ENSG00000173406,protein_coding,157,3,0.19,0.0
chr17,39845137,39848920,EIF1,+,302.133,V,ENSG00000173812,protein_coding,1,3,0.001,0.0
chr3,23958036,23965865,RPL15,+,201.452,V,ENSG00000174748,protein_coding,3,3,0.001,0.0
chr10,38238501,38265575,ZNF25,-,4.684,V,ENSG00000175395,protein_coding,12,3,0.2,0.0
chr16,28544029,28550495,NUPR1,-,26.032,V,ENSG00000176046,protein_coding,3,3,0.257,0.0
chr10,133779959,133795517,BNIP3,-,18.26,V,ENSG00000176171,protein_coding,7,3,0.178,0.0
chr12,56862362,56873492,SPRYD4,+,5.916,V,ENSG00000176422,protein_coding,3,3,0.178,0.0
chr5,178977555,179037013,RUFY1,+,23.774,V,ENSG00000176783,protein_coding,40,3,0.311,0.0
chr12,118470499,118500235,WSB2,-,38.402,V,ENSG00000176871,protein_coding,17,3,0.01,0.0
chr1,229392639,229406989,AL162595.1,-,1.755,V,ENSG00000177788,lncRNA,5,3,0.148,0.0
chr11,867860,915058,CHID1,-,18.387,V,ENSG00000177830,protein_coding,20,3,0.2,0.0
chr19,4324040,4342783,STAP2,-,95.315,V,ENSG00000178078,protein_coding,17,3,0.322,0.0
chr18,9102628,9134343,NDUFV2,+,1.692,V,ENSG00000178127,protein_coding,9,3,0.086,0.0
chr15,75192333,75199224,FAM219B,-,29.399,V,ENSG00000178761,protein_coding,3,3,0.126,0.0
chr14,105766900,105864484,PACS2,+,13.924,V,ENSG00000179364,protein_coding,36,3,0.4,0.0
chr16,15068448,15233196,PDXDC1,+,29.021,V,ENSG00000179889,protein_coding,82,3,0.057,0.0
chr2,47129009,47168994,MCFD2,-,30.265,V,ENSG00000180398,protein_coding,16,3,0.066,0.0
chr1,78245309,78345224,MIGA1,+,3.032,V,ENSG00000180488,protein_coding,51,3,0.082,0.0
chr16,69740899,69760571,NQO1,-,61.951,V,ENSG00000181019,protein_coding,15,3,0.053,0.0
chr17,7387685,7417935,POLR2A,+,133.096,V,ENSG00000181222,protein_coding,10,3,0.077,0.0
chr3,128968449,128996616,COPG1,+,91.603,V,ENSG00000181789,protein_coding,7,3,0.314,0.0
chr12,49396057,49412608,PRKAG1,-,30.114,V,ENSG00000181929,protein_coding,11,3,0.217,0.0
chr17,7760003,7788556,NAA38,-,26.111,V,ENSG00000183011,protein_coding,8,3,0.229,0.0
chr15,51348795,51397473,TNFAIP8L3,-,15.741,V,ENSG00000183578,protein_coding,6,3,0.052,0.0
chr22,31460091,31500743,SMTN,+,39.758,V,ENSG00000183963,protein_coding,12,3,0.059,0.0
chr1,55107427,55175939,MROH7,+,0.291,V,ENSG00000184313,protein_coding,41,3,0.6,0.0
chr8,144386554,144442149,TOP1MT,-,9.356,V,ENSG00000184428,protein_coding,21,3,0.433,0.0
chr8,86132816,86196302,CA13,+,5.265,V,ENSG00000185015,protein_coding,27,3,0.104,0.0
chr14,103589779,103603776,TNFAIP2,+,220.575,V,ENSG00000185215,protein_coding,0,3,0.002,0.0
